# Enemies: VIRUS; BUG; CD; DISK; DISK_BLUE; MAGNET; CONE; BOSS; BOSS_INTRO
# Patterns: COLUMN; SNAKE; SNAKE_REV; ROW; STRAFER; WARNING; BOSS_INTRO; BOSS
# Positions: LL; L; LC; C; RC; R; RR; <int>
# Speeds: SLOW; NORMAL; FAST; <float>

# Enemy, Shoots, Quantity, Speed, Pattern, Position, Sine Frequency, Sine Amplitude, Delay

# ========================================================================================

# Rows of destruction.
# Tempo.
# Moving around the screen.
# Challenge is in getting all the waves.
# Ballet of queued-up homing shots.

# Shots to animate.
# Big explosion and continue screen.

# IDEA: Angular enemies that can be destroyed in rows.
# IDEA: Enemies that come together in a combined row.

# Spawn weapons as own dropdowns.
# Default weapon: Two shots that have light strength.
# Weapon 2: Four shots (red)
# Weapon 3: Six shots (green) plus two at angles.

# Generator:
# Idea of meta-patterns: You'll always get two or three normal patterns, and one fullscreen pattern.
# Idea of themes within levels. First is sparse, second is medium, third is really busy.
# 2 - 4 second pause between waves.
# 50 waves. (LOVE how I can just crank this up).





# Initial easy waves of disks.
DISK,NA,5,1.7,COLUMN,L,0,0,2000
DISK_BLUE,NA,5,1.7,COLUMN,R,0,0,2000

# Center column of CD's.
CD,NA,5,1.8,SNAKE,125,0.1,125,100
CD,NA,5,1.8,SNAKE_REV,125,0.1,125,2500


# Magnet columns.
MAGNET,NA,6,1.7,SNAKE,L,0.075,220,100
MAGNET,NA,6,1.7,SNAKE_REV,L,0.075,220,1750


# A couple of short snakes.
BUG,NA,6,1.7,SNAKE,R,0.075,220,2000
VIRUS,NA,6,1.7,SNAKE,L,0.075,220,4000


# Some very-fast disk columns.
DISK,NA,5,2.2,COLUMN,LC,0,0,1000
DISK_BLUE,NA,5,2.2,COLUMN,RR,0,0,1750
DISK,NA,8,3.2,COLUMN,C,0,0,3000

# ========================================================================================


# OWN: Row of one-hit disk deltas.
# BACKGROUND: Long slow trailing row of CD's.
# BACKGROUND: Big block of slow space-invader rows.
# FORE: Some fast columns interspersed with them.
# FORE: Some foreground spinners that shoot.
# FORE: Some slow-stop-spray viruses.
# DNA strand crossovers.


DISK_BLUE,NA,1,1.2,COLUMN,LL,0.1,120,0
DISK_BLUE,NA,1,1.6,COLUMN,L,0.1,120,0
DISK_BLUE,NA,1,2.0,COLUMN,LC,0.1,120,0
DISK_BLUE,NA,1,2.4,COLUMN,C,0.1,120,0
DISK_BLUE,NA,1,2.0,COLUMN,CR,0.1,120,0
DISK_BLUE,NA,1,1.6,COLUMN,R,0.1,120,0
DISK_BLUE,NA,1,1.2,COLUMN,RR,0.1,120,7000

# ========================================================================================
# ========================================================================================

## Powerups to ultimately be spawned as explodable platforms.
## Powerups get lost upon death, but can be picked up again.





## Some tougher waves of snakes, one which shoots.
#BUG,NA,5,1.6,SNAKE,LC,0.1,120,1750
#VIRUS,SHOOTS,5,1.2,SNAKE,RR,0.1,120,5000
#
## A delta wave of blue disks.
#DISK_BLUE,NA,1,1.0,COLUMN,LL,0.1,120,0
#DISK_BLUE,NA,1,1.2,COLUMN,L,0.1,120,0
#DISK_BLUE,NA,1,1.3,COLUMN,LC,0.1,120,0
#DISK_BLUE,NA,1,1.4,COLUMN,C,0.1,120,0
#DISK_BLUE,NA,1,1.3,COLUMN,CR,0.1,120,0
#DISK_BLUE,NA,1,1.2,COLUMN,R,0.1,120,0
#DISK_BLUE,NA,1,1.0,COLUMN,RR,0.1,120,7000


# WHAT IS FUN TO PLAY:
#     - ROWS OF ENEMIES IN COLUMNS.
#     - BIG LONG SNAKES OF ENEMIES.
